Código,Data da venda,Prazo (dias),Preço_Venda,Volume_Venda,Código_Cliente,Código_Produto,Código_Cidade,Código_Vendedor
536,6/19/2012,60,2.77,2201,4,7,1,1
537,6/20/2012,45,4.02,8535,3,5,2,1
538,6/21/2012,45,2.77,8020,2,7,1,1
539,6/22/2012,60,2.77,7951,3,3,1,1
540,6/23/2012,45,7.04,5739,3,2,1,3
541,6/24/2012,60,5.56,6881,2,8,2,2
542,6/25/2012,60,2.6,9529,3,1,3,3
543,6/26/2012,45,2.6,1518,4,1,2,1
544,6/27/2012,45,2.77,8676,3,3,2,2
545,6/28/2012,60,2.6,6601,2,8,2,1
546,6/29/2012,45,7.04,2828,3,2,2,1
547,6/30/2012,45,2.6,8125,3,1,2,2
548,7/1/2012,60,4.02,6298,4,3,3,2
549,7/2/2012,45,7.04,7279,3,2,1,1
550,7/3/2012,45,4.02,4655,2,5,2,1
551,7/4/2012,60,5.56,4955,3,6,3,2
552,7/5/2012,45,4.02,242,4,3,2,1
553,7/6/2012,30,5.56,937,3,6,1,1
554,7/7/2012,45,7.04,355,3,2,2,3
555,7/8/2012,45,7.04,9488,2,2,1,3
556,7/9/2012,30,7.04,3384,3,2,4,3
557,7/10/2012,45,9.6,3858,4,4,3,4
558,7/11/2012,30,2.6,5573,3,1,2,1
559,7/12/2012,45,4.02,7837,2,5,4,1
560,7/13/2012,45,2.6,3696,3,1,2,2
561,7/14/2012,60,4.02,7111,4,8,3,2
562,7/15/2012,45,7.04,7637,3,2,1,1
563,7/16/2012,45,4.02,2869,2,5,2,1
564,7/17/2012,60,5.56,7079,3,6,3,2
565,7/18/2012,45,4.02,7669,4,3,2,1
566,7/19/2012,45,5.56,4248,3,3,1,1
567,7/20/2012,45,2.77,3374,2,7,2,1
568,7/21/2012,30,4.02,5034,2,3,4,1
569,7/22/2012,45,2.6,2315,3,1,2,2
570,7/23/2012,45,4.02,2649,4,3,3,2
571,7/24/2012,60,7.04,2817,3,2,1,1
572,7/25/2012,45,4.02,7541,2,5,2,1
573,7/26/2012,60,2.6,9841,3,1,2,1
574,7/27/2012,45,4.02,1755,2,5,4,1
575,7/28/2012,45,2.6,5367,3,1,2,2
576,7/29/2012,60,2.66,1139,1,1,1,1
577,7/30/2012,45,7.04,2534,2,2,2,2
578,7/31/2012,45,7.04,2986,3,2,3,3
579,8/1/2012,60,7.04,1830,4,3,3,2
580,8/2/2012,45,7.04,5206,3,3,2,3
581,8/3/2012,30,7.04,2876,2,3,1,3
582,8/4/2012,45,7.04,7275,3,2,4,3
583,8/5/2012,45,9.6,5174,4,4,3,4
584,8/6/2012,30,2.6,4548,3,1,2,1
585,8/7/2012,45,4.02,5852,2,3,4,1
586,8/8/2012,30,2.6,6380,3,1,2,2
587,8/9/2012,30,4.02,6591,4,3,3,2
588,8/10/2012,45,7.04,5170,3,2,1,1
589,8/11/2012,45,4.02,8553,2,5,2,1
590,8/12/2012,30,5.56,7766,3,6,3,2
591,8/13/2012,45,4.02,705,4,5,2,1
592,8/14/2012,45,5.56,9546,3,3,1,1
593,8/15/2012,45,2.77,2595,2,7,2,1
594,8/16/2012,60,9.6,6958,3,4,1,4
595,8/17/2012,45,4.02,2976,4,5,4,1
596,8/18/2012,60,2.77,6463,3,7,2,1
597,8/19/2012,45,2.77,9428,2,8,2,1
598,8/20/2012,60,2.6,8009,3,8,1,1
599,8/21/2012,30,2.6,1358,4,1,2,1
600,8/22/2012,45,7.04,1517,3,2,1,3
601,8/23/2012,45,5.56,5267,2,8,2,2
602,8/24/2012,45,2.6,5517,3,1,3,3
603,8/25/2012,60,2.6,4185,4,1,2,1
604,8/26/2012,45,2.77,8709,3,7,2,2
605,8/27/2012,45,2.6,4144,2,1,2,1
606,8/28/2012,60,7.04,1256,3,2,2,1
607,8/29/2012,45,2.6,3992,4,1,2,1
608,8/30/2012,60,2.6,481,3,1,1,1
609,8/31/2012,60,2.77,312,2,7,2,1
610,9/1/2012,60,2.6,8997,3,1,4,1
611,9/2/2012,60,4.02,7296,4,3,2,5
612,9/3/2012,45,7.04,892,3,2,2,1
613,9/4/2012,45,4.02,9471,2,5,2,1
614,9/5/2012,45,5.56,8332,3,6,2,1
615,9/6/2012,30,4.02,4731,4,5,1,1
616,9/7/2012,45,5.56,6891,3,6,2,1
617,9/8/2012,30,2.77,2511,2,7,2,1
618,9/9/2012,30,9.6,7609,3,8,3,1
619,9/10/2012,30,2.6,1003,4,1,3,1
620,9/11/2012,30,4.02,6536,3,5,2,1
621,9/12/2012,30,7.04,2473,2,2,1,1
622,9/13/2012,45,4.02,533,3,5,2,3
623,9/14/2012,45,5.56,3380,4,6,2,2
624,9/15/2012,45,4.02,7276,3,5,2,1
625,9/16/2012,45,5.56,4719,2,3,2,1
626,9/17/2012,45,2.77,1166,3,7,2,2
627,9/18/2012,45,9.6,9820,4,8,4,3
628,9/19/2012,60,4.02,4688,3,5,2,1
629,9/20/2012,45,2.77,6155,2,3,1,1
630,9/21/2012,60,2.77,5264,3,7,1,1
631,9/22/2012,45,2.77,2750,4,3,2,3
632,9/23/2012,60,9.6,3902,3,4,2,1
633,9/24/2012,45,5.56,8686,2,6,2,1
634,9/25/2012,45,4.02,2318,3,3,3,1
635,9/26/2012,45,5.56,2795,4,6,3,1
636,9/27/2012,30,2.77,9554,3,7,2,1
637,9/28/2012,45,5.56,6011,2,6,2,1
638,9/29/2012,45,4.02,9562,3,5,3,1
639,9/30/2012,30,5.56,9203,4,3,3,1
640,10/1/2012,45,2.77,588,3,7,2,1
641,10/2/2012,45,9.6,6145,2,4,1,1
642,10/3/2012,30,4.02,2101,3,5,3,4
643,10/4/2012,45,2.77,5415,4,7,2,1
644,10/5/2012,45,9.6,244,3,4,2,1
645,10/6/2012,30,2.77,9764,2,3,1,2
646,10/7/2012,30,2.77,8331,3,7,2,1
647,10/8/2012,45,5.56,4949,4,6,1,1
648,10/9/2012,30,2.77,6809,3,7,1,2
649,10/10/2012,45,9.6,5163,2,4,2,1
650,10/11/2012,45,4.02,1181,3,5,2,1
651,10/12/2012,60,2.77,2188,4,7,1,1
652,10/13/2012,45,4.02,31,3,5,2,1
653,10/14/2012,45,2.77,2144,2,7,1,1
654,10/15/2012,30,7.04,988,2,2,1,1
655,10/16/2012,45,4.02,85,3,5,2,3
656,10/17/2012,45,5.56,9565,4,6,2,2
657,10/18/2012,45,4.02,1835,3,5,2,1
658,10/19/2012,45,5.56,2043,2,3,2,1
659,10/20/2012,45,2.77,182,3,7,2,2
660,10/21/2012,45,9.6,9048,4,8,4,3
661,10/22/2012,60,4.02,1072,3,5,2,1
662,10/23/2012,45,2.77,8404,2,3,1,1
663,10/24/2012,60,2.77,1133,3,7,1,1
664,10/25/2012,45,2.77,3026,4,3,2,3
665,10/26/2012,60,9.6,4214,3,4,2,1
666,10/27/2012,45,5.56,1102,2,6,2,1
667,10/28/2012,45,4.02,3237,3,3,3,1
668,10/29/2012,45,5.56,4049,4,6,3,1
669,10/30/2012,30,2.77,9571,3,7,2,1
670,10/31/2012,45,5.56,7790,2,6,2,1
671,11/1/2012,45,4.02,5031,3,5,3,1
672,11/2/2012,30,5.56,7501,4,3,3,1
673,11/3/2012,45,2.77,8933,3,7,2,1
674,11/4/2012,45,9.6,862,2,4,1,1
675,11/5/2012,30,4.02,7990,3,5,3,4
676,11/6/2012,45,2.77,1704,4,7,2,1
677,11/7/2012,45,9.6,2058,3,4,2,1
678,11/8/2012,30,2.77,3042,2,3,1,2
679,11/9/2012,30,2.77,8578,3,7,2,1
680,11/10/2012,45,5.56,3443,4,6,1,1
681,11/11/2012,30,2.77,9879,3,7,1,2
682,11/12/2012,45,9.6,3758,2,4,2,1
683,11/13/2012,45,4.02,5572,3,5,2,1
684,11/14/2012,60,2.77,2208,4,7,1,1
685,11/15/2012,45,4.02,7707,3,5,2,1
686,11/16/2012,45,2.77,1718,2,7,1,1
687,11/17/2012,60,2.66,2496,1,1,1,1
688,11/18/2012,45,7.04,1438,2,2,2,2
689,11/19/2012,45,7.04,7549,3,2,3,3
690,11/20/2012,60,7.04,3880,4,3,3,2
691,11/21/2012,45,7.04,5086,3,3,2,3
692,11/22/2012,30,7.04,1216,2,3,1,3
693,11/23/2012,45,7.04,3352,3,2,4,3
694,11/24/2012,45,9.6,4645,4,4,3,4
695,11/25/2012,30,2.6,8877,3,1,2,1
696,11/26/2012,45,4.02,4787,2,3,4,1
697,11/27/2012,30,2.6,752,3,1,2,2
698,11/28/2012,30,4.02,6719,4,3,3,2
699,11/29/2012,45,7.04,2298,3,2,1,1
700,11/30/2012,45,4.02,4753,2,5,2,1
701,12/1/2012,30,5.56,3266,3,6,3,2
702,12/2/2012,45,4.02,1322,4,5,2,1
703,12/3/2012,45,5.56,7122,3,3,1,1
704,12/4/2012,45,2.77,3053,2,7,2,1
705,12/5/2012,60,9.6,484,3,4,1,4
706,12/6/2012,45,4.02,8063,4,5,4,1
707,12/7/2012,60,2.77,287,3,7,2,1
708,12/8/2012,45,2.77,2273,2,8,2,1
709,12/9/2012,60,2.6,4740,3,8,1,1
710,12/10/2012,30,2.6,3250,4,1,2,1
711,12/11/2012,45,7.04,6323,3,2,1,3
712,12/12/2012,45,5.56,7102,2,8,2,2
713,12/13/2012,45,2.6,8247,3,1,3,3
714,12/14/2012,60,2.6,8063,4,1,2,1
715,12/15/2012,45,2.77,2996,3,7,2,2
716,12/16/2012,45,2.6,6415,2,1,2,1
717,12/17/2012,60,7.04,7556,3,2,2,1
718,12/18/2012,45,2.6,4891,4,1,2,1
719,12/19/2012,60,2.6,7937,3,1,1,1
720,12/20/2012,60,2.77,38,2,7,2,1
721,12/21/2012,60,2.6,7892,3,1,4,1
722,12/22/2012,60,4.02,5754,4,3,2,5
723,12/23/2012,45,7.04,2278,3,2,2,1
724,12/24/2012,45,4.02,183,2,5,2,1
725,12/25/2012,45,5.56,936,3,6,2,1
726,12/26/2012,30,4.02,2852,4,5,1,1
727,12/27/2012,45,5.56,9013,3,6,2,1
728,12/28/2012,30,2.77,2332,2,7,2,1
729,12/29/2012,30,9.6,8204,3,8,3,1
730,12/30/2012,30,2.6,5838,4,1,3,1
731,12/31/2012,30,4.02,4745,3,5,2,1
732,1/1/2013,30,7.04,6660,2,2,1,1
733,1/2/2013,45,4.02,853,3,5,2,3
734,1/3/2013,45,5.56,9833,4,6,2,2
735,1/4/2013,45,4.02,5780,3,5,2,1
736,1/5/2013,45,5.56,3035,2,3,2,1
737,1/6/2013,45,2.77,3117,3,7,2,2
738,1/7/2013,45,9.6,2701,4,8,4,3
739,1/8/2013,60,4.02,1170,3,5,2,1
740,1/9/2013,45,2.77,8386,2,3,1,1
741,1/10/2013,60,2.77,112,3,7,1,1
742,1/11/2013,45,2.77,4676,4,3,2,3
743,1/12/2013,60,9.6,2181,3,4,2,1
744,1/13/2013,45,5.56,3262,2,6,2,1
745,1/14/2013,45,4.02,5382,3,3,3,1
746,1/15/2013,45,5.56,8838,4,6,3,1
747,1/16/2013,30,2.77,4852,3,7,2,1
748,1/17/2013,45,5.56,6647,2,6,2,1
749,1/18/2013,45,4.02,9673,3,5,3,1
750,1/19/2013,30,5.56,1004,4,3,3,1
751,1/20/2013,45,2.77,2345,3,7,2,1
752,1/21/2013,45,9.6,2148,2,4,1,1
753,1/22/2013,30,4.02,9019,3,5,3,4
754,1/23/2013,45,2.77,4814,4,7,2,1
755,1/24/2013,45,9.6,5536,3,4,2,1
756,1/25/2013,30,2.77,4121,2,3,1,2
757,1/26/2013,30,2.77,7172,3,7,2,1
758,1/27/2013,45,5.56,5813,4,6,1,1
759,1/28/2013,30,2.77,8923,3,7,1,2
760,1/29/2013,45,9.6,7566,2,4,2,1
761,1/30/2013,45,4.02,6416,3,5,2,1
762,1/31/2013,60,2.77,9629,4,7,1,1
763,2/1/2013,45,4.02,389,3,5,2,1
764,2/2/2013,45,2.77,9452,2,7,1,1
765,2/3/2013,60,2.77,757,3,3,1,1
766,2/4/2013,45,7.04,5784,3,2,1,3
767,2/5/2013,60,5.56,4385,2,8,2,2
768,2/6/2013,60,2.6,6168,3,1,3,3
769,2/7/2013,45,2.6,6237,4,1,2,1
770,2/8/2013,45,2.77,2472,3,3,2,2
771,2/9/2013,60,2.6,2677,2,8,2,1
772,2/10/2013,45,7.04,1224,3,2,2,1
773,2/11/2013,45,2.6,5297,3,1,2,2
774,2/12/2013,60,4.02,4921,4,3,3,2
775,2/13/2013,45,7.04,8758,3,2,1,1
776,2/14/2013,45,4.02,4355,2,5,2,1
777,2/15/2013,60,5.56,841,3,6,3,2
778,2/16/2013,45,4.02,9668,4,3,2,1
779,2/17/2013,30,5.56,1682,3,6,1,1
780,2/18/2013,45,7.04,8340,3,2,2,3
781,2/19/2013,45,7.04,5268,2,2,1,3
782,2/20/2013,30,7.04,4382,3,2,4,3
783,2/21/2013,45,9.6,6077,4,4,3,4
784,2/22/2013,30,2.6,8008,3,1,2,1
785,2/23/2013,45,4.02,7778,2,5,4,1
786,2/24/2013,45,2.6,4754,3,1,2,2
787,2/25/2013,60,4.02,3136,4,8,3,2
788,2/26/2013,45,7.04,7812,3,2,1,1
789,2/27/2013,45,4.02,3220,2,5,2,1
790,2/28/2013,60,5.56,6173,3,6,3,2
791,3/1/2013,45,4.02,4793,4,3,2,1
792,3/2/2013,45,5.56,7610,3,3,1,1
793,3/3/2013,45,2.77,5827,2,7,2,1
794,3/4/2013,30,4.02,8705,2,3,4,1
795,3/5/2013,45,2.6,7797,3,1,2,2
796,3/6/2013,45,4.02,1972,4,3,3,2
797,3/7/2013,60,7.04,2258,3,2,1,1
798,3/8/2013,45,4.02,8807,2,5,2,1
799,3/9/2013,60,2.6,4352,3,1,2,1
800,3/10/2013,45,4.02,3638,2,5,4,1
801,3/11/2013,45,2.6,3984,3,1,2,2
802,3/12/2013,60,2.66,2058,1,1,1,1
803,3/13/2013,45,7.04,2485,2,2,2,2
804,3/14/2013,45,7.04,25,3,2,3,3
805,3/15/2013,60,7.04,8616,4,3,3,2
806,3/16/2013,45,7.04,6947,3,3,2,3
807,3/17/2013,30,7.04,8950,2,3,1,3
808,3/18/2013,45,7.04,6725,3,2,4,3
809,3/19/2013,45,9.6,3328,4,4,3,4
810,3/20/2013,30,2.6,2527,3,1,2,1
811,3/21/2013,45,4.02,5721,2,3,4,1
812,3/22/2013,30,2.6,8401,3,1,2,2
813,3/23/2013,30,4.02,1271,4,3,3,2
814,3/24/2013,45,7.04,968,3,2,1,1
815,3/25/2013,45,4.02,6630,2,5,2,1
816,3/26/2013,30,5.56,764,3,6,3,2
817,3/27/2013,45,4.02,4667,4,5,2,1
818,3/28/2013,45,5.56,1580,3,3,1,1
819,3/29/2013,45,2.77,6338,2,7,2,1
820,3/30/2013,60,9.6,6995,3,4,1,4
821,3/31/2013,45,4.02,9132,4,5,4,1
822,4/1/2013,60,2.77,5075,3,7,2,1
823,4/2/2013,45,2.77,6518,2,8,2,1
824,4/3/2013,60,2.6,8845,3,8,1,1
825,4/4/2013,30,2.6,2379,4,1,2,1
826,4/5/2013,45,7.04,4403,3,2,1,3
827,4/6/2013,45,5.56,1271,2,8,2,2
828,4/7/2013,45,2.6,8877,3,1,3,3
829,4/8/2013,60,2.6,6571,4,1,2,1
830,4/9/2013,45,2.77,2292,3,7,2,2
831,4/10/2013,45,2.6,206,2,1,2,1
832,4/11/2013,60,7.04,290,3,2,2,1
833,4/12/2013,45,2.6,6547,4,1,2,1
834,4/13/2013,60,2.6,1590,3,1,1,1
835,4/14/2013,60,2.77,4789,2,7,2,1
836,4/15/2013,60,2.6,5433,3,1,4,1
837,4/16/2013,60,4.02,9789,4,3,2,5
838,4/17/2013,45,7.04,3048,3,2,2,1
839,4/18/2013,45,4.02,1506,2,5,2,1
840,4/19/2013,45,5.56,7914,3,6,2,1
841,4/20/2013,30,4.02,4984,4,5,1,1
842,4/21/2013,45,5.56,521,3,6,2,1
843,4/22/2013,30,2.77,2508,2,7,2,1
844,4/23/2013,30,9.6,9028,3,8,3,1
845,4/24/2013,30,2.6,7824,4,1,3,1
846,4/25/2013,30,4.02,8700,3,5,2,1
847,4/26/2013,30,7.04,5680,2,2,1,1
848,4/27/2013,45,4.02,785,3,5,2,3
849,4/28/2013,45,5.56,1586,4,6,2,2
850,4/29/2013,45,4.02,1121,3,5,2,1
851,4/30/2013,45,5.56,5245,2,3,2,1
852,5/1/2013,45,2.77,9314,3,7,2,2
853,5/2/2013,45,9.6,2300,4,8,4,3
854,5/3/2013,60,4.02,651,3,5,2,1
855,5/4/2013,45,2.77,3521,2,3,1,1
856,5/5/2013,60,2.77,9079,3,7,1,1
857,5/6/2013,45,2.77,8599,4,3,2,3
858,5/7/2013,60,9.6,7857,3,4,2,1
859,5/8/2013,45,5.56,2510,2,6,2,1
860,5/9/2013,45,4.02,1654,3,3,3,1
861,5/10/2013,45,5.56,296,4,6,3,1
862,5/11/2013,30,2.77,9814,3,7,2,1
863,5/12/2013,45,5.56,8565,2,6,2,1
864,5/13/2013,45,4.02,3004,3,5,3,1
865,5/14/2013,30,5.56,8921,4,3,3,1
866,5/15/2013,45,2.77,2596,3,7,2,1
867,5/16/2013,45,9.6,1475,2,4,1,1
868,5/17/2013,30,4.02,8503,3,5,3,4
869,5/18/2013,45,2.77,5395,4,7,2,1
870,5/19/2013,45,9.6,7228,3,4,2,1
871,5/20/2013,30,2.77,3983,2,3,1,2
872,5/21/2013,30,2.77,6476,3,7,2,1
873,5/22/2013,45,5.56,5033,4,6,1,1
874,5/23/2013,30,2.77,964,3,7,1,2
875,5/24/2013,45,9.6,2858,2,4,2,1
876,5/25/2013,45,4.02,6680,3,5,2,1
877,5/26/2013,60,2.77,3280,4,7,1,1
878,5/27/2013,45,4.02,5481,3,5,2,1
879,5/28/2013,45,2.77,6274,2,7,1,1
880,5/29/2013,60,2.77,2278,3,3,1,1
881,5/30/2013,45,7.04,9710,3,2,1,3
882,5/31/2013,60,5.56,873,2,8,2,2
883,6/1/2013,60,2.6,6434,3,1,3,3
884,6/2/2013,45,2.6,6985,4,1,2,1
885,6/3/2013,45,2.77,8149,3,3,2,2
886,6/4/2013,60,2.6,9583,2,8,2,1
887,6/5/2013,45,7.04,7659,3,2,2,1
888,6/6/2013,45,2.6,1900,3,1,2,2
889,6/7/2013,60,4.02,9619,4,3,3,2
890,6/8/2013,45,7.04,2618,3,2,1,1
891,6/9/2013,45,4.02,9774,2,5,2,1
892,6/10/2013,60,5.56,2722,3,6,3,2
893,6/11/2013,45,4.02,3034,4,3,2,1
894,6/12/2013,30,5.56,1828,3,6,1,1
895,6/13/2013,45,7.04,9574,3,2,2,3
896,6/14/2013,45,7.04,7804,2,2,1,3
897,6/15/2013,30,7.04,2704,3,2,4,3
898,6/16/2013,45,9.6,7488,4,4,3,4
899,6/17/2013,30,2.6,9764,3,1,2,1
900,6/18/2013,45,4.02,7466,2,5,4,1
901,6/19/2013,45,2.6,4043,3,1,2,2
902,6/20/2013,60,4.02,9163,4,8,3,2
903,6/21/2013,45,7.04,6147,3,2,1,1
904,6/22/2013,45,4.02,2032,2,5,2,1
905,6/23/2013,60,5.56,368,3,6,3,2
906,6/24/2013,45,4.02,6002,4,3,2,1
907,6/25/2013,45,5.56,740,3,3,1,1
908,6/26/2013,45,2.77,224,2,7,2,1
909,6/27/2013,30,4.02,2000,2,3,4,1
910,6/28/2013,45,2.6,4988,3,1,2,2
911,6/29/2013,45,4.02,8601,4,3,3,2
912,6/30/2013,60,7.04,1261,3,2,1,1
913,7/1/2013,45,4.02,1278,2,5,2,1
914,7/2/2013,60,2.6,3926,3,1,2,1
915,7/3/2013,45,4.02,6345,2,5,4,1
916,7/4/2013,45,2.6,6686,3,1,2,2
917,7/5/2013,60,2.66,4793,1,1,1,1
918,7/6/2013,45,7.04,3896,2,2,2,2
919,7/7/2013,45,7.04,6000,3,2,3,3
920,7/8/2013,60,7.04,8559,4,3,3,2
921,7/9/2013,45,7.04,294,3,3,2,3
922,7/10/2013,30,7.04,4680,2,3,1,3
923,7/11/2013,45,7.04,1425,3,2,4,3
924,7/12/2013,45,9.6,9986,4,4,3,4
925,7/13/2013,30,2.6,5986,3,1,2,1
926,7/14/2013,45,4.02,55,2,3,4,1
927,7/15/2013,30,2.6,2758,3,1,2,2
928,7/16/2013,30,4.02,2835,4,3,3,2
929,7/17/2013,45,7.04,9774,3,2,1,1
930,7/18/2013,45,4.02,4641,2,5,2,1
931,7/19/2013,30,5.56,3854,3,6,3,2
932,7/20/2013,45,4.02,273,4,5,2,1
933,7/21/2013,45,5.56,2152,3,3,1,1
934,7/22/2013,45,2.77,1899,2,7,2,1
935,7/23/2013,60,9.6,4430,3,4,1,4
936,7/24/2013,45,4.02,7520,4,5,4,1
937,7/25/2013,60,2.77,1752,3,7,2,1
938,7/26/2013,45,2.77,8903,2,8,2,1
939,7/27/2013,60,2.6,7780,3,8,1,1
940,7/28/2013,30,2.6,9348,4,1,2,1
941,7/29/2013,45,7.04,3142,3,2,1,3
942,7/30/2013,45,5.56,2523,2,8,2,2
943,7/31/2013,45,2.6,2162,3,1,3,3
944,8/1/2013,60,2.6,9760,4,1,2,1
945,8/2/2013,45,2.77,3778,3,7,2,2
946,8/3/2013,45,2.6,910,2,1,2,1
947,8/4/2013,60,7.04,2293,3,2,2,1
948,8/5/2013,45,2.6,112,4,1,2,1
949,8/6/2013,60,2.6,9692,3,1,1,1
950,8/7/2013,60,2.77,1813,2,7,2,1
951,8/8/2013,60,2.6,6830,3,1,4,1
952,8/9/2013,60,4.02,340,4,3,2,5
953,8/10/2013,45,7.04,1434,3,2,2,1
954,8/11/2013,45,4.02,4913,2,5,2,1
955,8/12/2013,45,5.56,7962,3,6,2,1
956,8/13/2013,30,4.02,5192,4,5,1,1
957,8/14/2013,45,5.56,34,3,6,2,1
958,8/15/2013,30,2.77,6409,2,7,2,1
959,8/16/2013,30,9.6,253,3,8,3,1
960,8/17/2013,30,2.6,3470,4,1,3,1
961,8/18/2013,30,4.02,854,3,5,2,1
962,8/19/2013,30,7.04,5382,2,2,1,1
963,8/20/2013,45,4.02,7903,3,5,2,3
964,8/21/2013,45,5.56,3178,4,6,2,2
965,8/22/2013,45,4.02,9010,3,5,2,1
966,8/23/2013,45,5.56,8004,2,3,2,1
967,8/24/2013,45,2.77,7902,3,7,2,2
968,8/25/2013,45,9.6,1172,4,8,4,3
969,8/26/2013,60,4.02,3517,3,5,2,1
970,8/27/2013,45,2.77,8587,2,3,1,1
971,8/28/2013,60,2.77,2301,3,7,1,1
972,8/29/2013,45,2.77,9480,4,3,2,3
973,8/30/2013,60,9.6,9959,3,4,2,1
974,8/31/2013,45,5.56,4413,2,6,2,1
975,9/1/2013,45,4.02,1772,3,3,3,1
976,9/2/2013,45,5.56,5089,4,6,3,1
977,9/3/2013,30,2.77,9376,3,7,2,1
978,9/4/2013,45,5.56,8913,2,6,2,1
979,9/5/2013,45,4.02,4454,3,5,3,1
980,9/6/2013,30,5.56,2680,4,3,3,1
981,9/7/2013,45,2.77,288,3,7,2,1
982,9/8/2013,45,9.6,6218,2,4,1,1
983,9/9/2013,30,4.02,2538,3,5,3,4
984,9/10/2013,45,2.77,907,4,7,2,1
985,9/11/2013,45,9.6,5565,3,4,2,1
986,9/12/2013,30,2.77,3588,2,3,1,2
987,9/13/2013,30,2.77,1049,3,7,2,1
988,9/14/2013,45,5.56,4687,4,6,1,1
989,9/15/2013,30,2.77,9770,3,7,1,2
990,9/16/2013,45,9.6,7910,2,4,2,1
991,9/17/2013,45,4.02,6742,3,5,2,1
992,9/18/2013,60,2.77,9702,4,7,1,1
993,9/19/2013,45,4.02,9502,3,5,2,1
994,9/20/2013,45,2.77,3378,2,7,1,1
995,9/21/2013,60,2.77,4292,3,3,1,1
996,9/22/2013,45,7.04,8449,3,2,1,3
997,9/23/2013,60,5.56,5090,2,8,2,2
998,9/24/2013,60,2.6,3549,3,1,3,3
999,9/25/2013,45,2.6,2070,4,1,2,1
1000,9/26/2013,45,2.77,1698,3,3,2,2
1001,9/27/2013,60,2.6,9163,2,8,2,1
1002,9/28/2013,45,7.04,8425,3,2,2,1
1003,9/29/2013,45,2.6,9683,3,1,2,2
1004,9/30/2013,60,4.02,7760,4,3,3,2
1005,10/1/2013,45,7.04,4302,3,2,1,1
1006,10/2/2013,45,4.02,7317,2,5,2,1
1007,10/3/2013,60,5.56,7728,3,6,3,2
1008,10/4/2013,45,4.02,4965,4,3,2,1
1009,10/5/2013,30,5.56,7324,3,6,1,1
1010,10/6/2013,45,7.04,9753,3,2,2,3
1011,10/7/2013,45,7.04,6346,2,2,1,3
1012,10/8/2013,30,7.04,6535,3,2,4,3
1013,10/9/2013,45,9.6,9211,4,4,3,4
1014,10/10/2013,30,2.6,9547,3,1,2,1
1015,10/11/2013,45,4.02,6645,2,5,4,1
1016,10/12/2013,45,2.6,1451,3,1,2,2
1017,10/13/2013,60,4.02,4951,4,8,3,2
1018,10/14/2013,45,7.04,634,3,2,1,1
1019,10/15/2013,45,4.02,1203,2,5,2,1
1020,10/16/2013,60,5.56,8487,3,6,3,2
1021,10/17/2013,45,4.02,5968,4,3,2,1
1022,10/18/2013,45,5.56,254,3,3,1,1
1023,10/19/2013,45,2.77,9221,2,7,2,1
1024,10/20/2013,30,4.02,1035,2,3,4,1
1025,10/21/2013,45,2.6,3286,3,1,2,2
1026,10/22/2013,45,4.02,9618,4,3,3,2
1027,10/23/2013,60,7.04,6170,3,2,1,1
1028,10/24/2013,45,4.02,2106,2,5,2,1
1029,10/25/2013,60,2.6,4063,3,1,2,1
1030,10/26/2013,45,4.02,9781,2,5,4,1
1031,10/27/2013,45,2.6,5763,3,1,2,2
1032,10/28/2013,60,2.66,2294,1,1,1,1
1033,10/29/2013,45,7.04,2954,2,2,2,2
1034,10/30/2013,45,7.04,1284,3,2,3,3
1035,10/31/2013,60,7.04,3356,4,3,3,2
1036,11/1/2013,45,7.04,3772,3,3,2,3
1037,11/2/2013,30,7.04,5078,2,3,1,3
1038,11/3/2013,45,7.04,6451,3,2,4,3
1039,11/4/2013,45,9.6,760,4,4,3,4
1040,11/5/2013,30,2.6,2144,3,1,2,1
1041,11/6/2013,45,4.02,8995,2,3,4,1
1042,11/7/2013,30,2.6,3135,3,1,2,2
1043,11/8/2013,30,4.02,1135,4,3,3,2
1044,11/9/2013,45,7.04,518,3,2,1,1
1045,11/10/2013,45,4.02,6599,2,5,2,1
1046,11/11/2013,30,5.56,5971,3,6,3,2
1047,11/12/2013,45,4.02,9588,4,5,2,1
1048,11/13/2013,45,5.56,8913,3,3,1,1
1049,11/14/2013,45,2.77,5466,2,7,2,1
1050,11/15/2013,60,9.6,9301,3,4,1,4
1051,11/16/2013,45,4.02,1932,4,5,4,1
1052,11/17/2013,60,2.77,3110,3,7,2,1
1053,11/18/2013,45,2.77,4614,2,8,2,1
1054,11/19/2013,60,2.6,4186,3,8,1,1
1055,11/20/2013,30,2.6,1878,4,1,2,1
1056,11/21/2013,45,7.04,4488,3,2,1,3
1057,11/22/2013,45,5.56,9783,2,8,2,2
1058,11/23/2013,45,2.6,3551,3,1,3,3
1059,11/24/2013,60,2.6,8939,4,1,2,1
1060,11/25/2013,45,2.77,387,3,7,2,2
1061,11/26/2013,45,2.6,3878,2,1,2,1
1062,11/27/2013,60,7.04,1575,3,2,2,1
1063,11/28/2013,45,2.6,3640,4,1,2,1
1064,11/29/2013,60,2.6,4501,3,1,1,1
1065,11/30/2013,60,2.77,4031,2,7,2,1
1066,12/1/2013,60,2.6,5989,3,1,4,1
1067,12/2/2013,60,4.02,6865,4,3,2,5
1068,12/3/2013,45,7.04,3762,3,2,2,1
1069,12/4/2013,45,4.02,3361,2,5,2,1
1070,12/5/2013,45,5.56,9567,3,6,2,1
